label,text
4,"A charming and loving throwback to the kids movies of the 80's that didn't needlessly pander to their audience. Although the boy-and-his-beast framework formula has been done to deat, the actual concept is fresh and fun."
2,Well my daughter liked it. Has some funny bits. 3 stars
1.5,there's better ways to spend time. it feels like it's a kids film. ie written and acted by.. NOT for.
1,"Truly awful movie from the acting to the action to the CGI to the story this movie sucks, but that creature sure is cute."
3.5,I I would say that monster trucks very predictable about almost every thing that happened in the movie
1,Horrible and boring and bad acting
3,Funny movie for the kid in yourself. Also a good test to know if you are or not yet a full grown bitter adult.
5,Great movie for all. Good graphics and clean. Need more movies like this.
3.5,alien type et film... enjoyable
5,Very good movie for kids .
5,"Funny, cute, and filled with excitement"
4.5,"I enjoyed the film far more than I expected. Funny, cute and heartwarming."
4,Cute kid's movie!! My 7 year old daughter loved it n I enjoyed it.
3,didn't think I'd like this as much as I did.
3,"Dodge Ram... all around the picture, that was better than story ??"
5,Excellent film where are the oscar waithingâ< for the second part congratulates the actors for their work
5,this movie looks cool
4,loved it the visuals were awesome!!!!
2,kids liked it. adults can tolerate it.
2.5,"The target audience is obvious here, but I liked it for what it was. There is nothing particular special about it. But as a cartoony Saturday matinee flick, I didn't mind it as much. Grade: C+"
4,"Overall a refreshing formulae for a family film. Understand view point of critics but as Father of 12, 9 and 8 year old, really good fun with something for ALL members of a family like ours. Not too highbrow, or artsy or action, but ENOUGH plot, animation and photography for everyone."
3,"It's stupid, but the target audience will likely get a kick out of it (and it's a lot shorter than the similar themed Transformers films). C+"
5,Great movie for kids. Loved the concept and music!
3,"Monster Trucks is one of those movies that's hardly great but far from bad. It will be mocked in some circles, loved in others, but one cannot deny its heart, good nature, well-meaning narrative, and agreeable characters. Yet one cannot deny its generic story supports and streamlined narrative content. On the whole, it's favorable cinema fodder; a movie that wasn't really ""necessary"" at any level, but one that should please its target audience and leave adults at least satisfied that it tried while making clear that it has its heart in the right place."
4,"Our family really enjoyed this movie! I'm not sure what all the negative hype is all about regarding the concept of Monster Trucks.. I thought it was charming, energetic, and funny.."
4,"Great movie it was entertaining as it should be, different yes and why not"
2,"Bad acting, nothing feels authentic and from half of the movie until the end, it's a downhill to Boring's Creek and Uninteresting Hill."
3,"It's weird seeing the new MacGyver playing this role, it was a fun movie to watch."
3,people really love cars
0.5,This is one dom movie i did not have the nerves to finish it so in stead rained it half a star
4,"Surprisingly, I THOROUGHLY enjoyed it... It was both funny and action-packed."
3.5,"Great children movie, thrilling chase scenes, cute creature that's a combination of a dolphin and an octopus within a moral plot. Sequels not be too far off if box office is good!"
1,Just for kids Under 12.
2,This could have been a great plot. But it went stereotype story where Lead actors try to save the creature.
2,"A movie that is for younger audience,story and characters not that interesting really .the more you watch the less you became interested in movie .The story is so simple in 20 min of a movie ,you will get the whole point of the movie overall a non interesting movie ,with bad lines and poore comedy and less action"
3,not the greatest movie but the kids liked it a lot
3,"Not exactly what I thought it was going to be, but my kids loved it"
5,It's an awesome movie:):)!!!!!!!!!
1,"Monster Trucks is ongeveer even amusant als kiespijn, met een slecht geschreven script vol met onnozele personages die je liever vermorzelt ziet worden door de wezens in dit verhaal. Zelfs kinderen zullen weinig plezier hier aan beleven."
0.5,Seems like there are running out of ideas and out came the idea of a sea Monster controlling a truck. Right.... Way too strange and the whole movie was just quite a mess.
5,"I really enjoyed this movie. Plenty of people claim that is was not that good, but I'd argue otherwise. This movie had adventure, action, and friendship all tied up with a sweet monster. This movie was actually pretty good, and I really enjoyed it."
4,good movie for the family. Nice graphics on the monster.
2.5,A decent movie at best. Rent it at home!
4,Great and interesting plot!!! Something that hasn't been done before and that's what makes it great for me!!!
3.5,ð??®ð??³+ð???ð???ð???ð???
4.5,My nephews loved this movie! I thought it was incredibly cute!
5,best movie ever filmed...trucks!! monsters!! what could go wrong
0,"Lucas Till can be a good actor, but this isn't the film to debut in."
1,"This movies isn't the worst movie I've ever seen, but it is so freaking stupid. It lacks great acting, & there's a lot of silly moments in the screenplay. So, I would only recommend if your child wants to see it. Other than that I say give this one a pass. (3/10, F)"
3,Divertido. O monstro é super carismático e as crianças se divertem do começo ao fim.
5,Quality movie. Best movie of 2017
2.5,I like to watch this movie
5,This was fun and everything it promises to be a family friendly movie my son and I loved it.
5,I want to see this movie
